Data_Masked_Index,Apokasc2 Real Age,APOKASC2 Predicted Age,TESS Real Age,TESS Predicted Age,Age Difference (APOKASC2 - TESS)
2M00001362-1913042,4.70977326396953,2.9453521342113764,4.184086784671924,9.680100017795452,-6.734747883584076
2M00001476+5607372,2.8773984147356697,5.645500281766704,10.10761418860986,4.17822698967588,1.467273292090824
2M00001493+5534446,6.854882264526614,4.849751131719776,11.042400336720467,5.425051135123375,-0.5753000034035987
2M00001508+6229364,5.046612975635282,7.702869181297973,3.3063971913496912,5.91114348123291,1.7917257000650633
2M00001616+1606151,8.356030182312482,6.677879615826787,2.5139332320013135,4.271497776967615,2.406381838859172
2M00001638+7924440,6.760829753919819,5.33171116219463,4.962890938947071,2.1239063697008564,3.207804792493773
2M00001648+6306232,6.823386941416698,2.017169118959739,2.94793925725002,7.282133903189527,-5.264964784229788
2M00001649-7342309,13.803842646028837,1.3756283737290962,3.4669862284733757,4.927057311259366,-3.55142893753027
2M00001653+5540107,1.7741894808901661,5.577982313085142,5.5731478933191285,3.975892645217401,1.6020896678677414
2M00001687+5903034,1.0690548792226577,5.0244281484583375,5.294541010073981,4.2186942538232515,0.805733894635086
2M00001701+7052395,14.52111617587742,8.80390503934031,3.82600183380596,4.752122748952485,4.051782290387826
2M00001717+6147500,4.375221051582521,8.075760056077133,2.567551397444591,6.209724888215997,1.8660351678611358
2M00001719+6221324,8.05378441199067,6.872369504323732,6.002830581,2.6043818032886783,4.267987701035054
2M00001809+5939417,7.834296427662119,4.949633050425708,5.773012754369674,-0.33528781338267744,5.284920863808385
2M00001877+5938132,8.452788451602899,8.722318800029692,0.9858425153088428,6.621134662670363,2.101184137359329
2M00001952+7026133,2.8906798823654745,3.4277547892968583,0.817653256774479,7.320849196557388,-3.89309440726053
2M00001962+6502429,9.682778562612496,7.497871585497363,8.149493100510801,3.9776706369955166,3.520200948501847
2M00001977-2003393,1.936421963946607,7.0917976143116785,8.368631295729344,4.321901768784899,2.7698958455267793
2M00002005+5703467,8.241381150130021,8.275291211495357,5.615130581169871,3.4038397655255612,4.871451445969797
2M00002005+5703467,5.584701947368306,6.5588971495566355,3.3208679734925877,6.117987363563597,0.4409097859930382
2M00002012+5612368,17.5388050184176,4.728658134002773,4.7535967489269355,7.801376013382962,-3.072717879380189
2M00002021+6302567,8.279421637123345,5.107149241310661,5.229111890626231,4.624734809312248,0.4824144319984134
2M00002035+6250406,4.31519076827765,5.167850156401304,3.924797946870472,4.936589231242117,0.23126092515918728
