APOGEE_index,actual_age,apokasc3_predicted_age,apok2_predicted_age,apokasc3_apok2_diff
549176,6.4681,7.043322517293691,3.5698678718805312,3.47345464541316
549309,8.5024,5.367023547738791,8.017122525268793,-2.6500989775300017
549476,9.1478,7.400838300812245,6.091745604336261,1.3090926964759833
549324,9.0148,9.741602737230062,5.58846304475069,4.153139692479372
549114,8.17,6.724541279858351,5.410664286911487,1.3138769929468639
548918,2.7013,9.038963798671961,26.68282920191288,-17.64386540324092
549235,8.3892,7.951245276618004,5.963810728830099,1.9874345477879052
549217,10.7274,11.629324684524535,5.535411186736822,6.093913497787713
549572,11.755,9.467022730118035,19.428336831915377,-9.961314101797342
549405,2.1966,2.4871156163692474,5.367642945867777,-2.8805273294985296
549413,0.6691,8.070556403785943,7.031346903562546,1.0392095002233974
549506,3.4332,5.062445307701826,5.500954103815555,-0.4385087961137293
